Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Lat,Long
2011-01-13,08:25:00,E Hastings St/Nanaimo St,Intersection,1,,,0,10-19,M,49.28114605,-123.0565507
2011-01-16,02:50:00,2500 Blk MacDonald St,Close to intersection,1,,,0,30-39,F,49.26320321,-123.1682048
2011-02-04,15:19:00,Main St/Keefer St,Intersection,1,,,0,70-79,M,49.27948142,-123.0997293
2011-03-14,06:50:00,3100 Blk Grandview Hwy,Mid-Block,1,,,0,70-79,F,49.25814068,-123.0377692
2011-03-31,17:25:00,SW Marine Dr/Kullahun Dr,Intersection,,,1,0,20-29,M,,
2011-04-06,14:27:00,E 22nd Ave/Boyd Dvrs,Intersection,1,,,0,70-79,F,,
2011-05-01,18:59:00,E 41st Ave/Killarney St,Intersection,1,,,0,90-99,M,49.23297119,-123.0459205
2011-06-20,17:52:00,Granville St/Nanton Ave,Close to intersection,,,,1,30-39,M,49.24741348,-123.1391502
2011-06-20,17:52:00,Granville St/Nanton Ave,Close to intersection,,,,1,60-69,F,49.24741348,-123.1391502
2011-06-20,17:52:00,Granville St/Nanton Ave,Close to intersection,,,,1,30-39,F,49.24741348,-123.1391502
2011-06-25,04:12:00,E Hastings St/ Jackson St,Intersection,1,,,0,30-39,F,49.28122081,-123.0934318
2011-06-26,03:07:00,Main St/ EHastings St,Mid-Block,1,,,0,50-59,M,49.28133561,-123.0996488
2011-07-16,23:56:00,200 block E Cordova St,Mid-Block ,1,,,0,60-69,M,49.28226634,-123.0986067
2012-02-10,03:00:00,3000 block E Hastings St,Mid-block,1,,,0,30-39,F,,
2012-03-06,02:57:00,Robson and Howe,Intersection,1,,,0,70-79,F,49.2819962,-123.1208034
2012-03-16,18:59:00,East 41st Avenue and Ross Street,Intersection,1,,,0,70-79,F,49.23278815,-123.0825707
2012-03-27,07:27:00,E 12th Ave / Windsor St,Intersection,,1,,0,30-39,F,49.25966908,-123.0833602
2012-04-15,10:30:00,W 4th Ave / Larch St,Mid-Block,1,,,0,80-89,M,49.26828096,-123.1622445
2012-04-24,01:39:00,Cassiar St / Dundas St,Intersection,,,,1,60-69,M,,
2012-04-24,01:39:00,Cassiar St / Dundas St,Intersection,,,,1,40-49,F,,
2012-06-11,12:27:00,2800 Block West Broadway,Mid-Block,1,,,0,50-59,F,49.26408724,-123.1691421
2012-06-26,12:21:00,00 block of East Hastings,Mid-Block,1,,,0,80-89,F,49.28140389,-123.1033113
