Departure_Station,Return_Station,,1
0093 Chilco & Robson,0032 Comox & Denman,,42
0012 Dunsmuir & Richards,0167 Cordova & Columbia,,66
0014 Canada Place,0140 Burrard & 7th,,3
0024 Hornby & Pender,0070 10th & Granville,,28
0089 Burrard & Drake,0148 Quebec & Milross,,2
0019 Robson & Hornby,0033 Robson & Denman,,88
0129 Richards & Robson,0082 Richards & Davie,,105
0019 Robson & Hornby,0088 Harwood & Bute,,77
0078 Nelson & Mainland,0174 1st & Ontario,,55
0037 Hornby & Nelson,0012 Dunsmuir & Richards,,113
0037 Hornby & Nelson,0027 Beatty & Nelson,,10
0019 Robson & Hornby,0040 Cardero & Davie,,11
0026 Beatty & Robson,0019 Robson & Hornby,,101
0001 10th & Cambie,0134 14th & Main,,183
0002 Burrard Station,0027 Beatty & Nelson,,8
0087 Broughton & Burnaby,0115 Cypress & 16th,,1
0187 Bute & Davie,0060 Bidwell & Burnaby,,81
0032 Comox & Denman,0088 Harwood & Bute,,38
0025 Homer & Robson,0037 Hornby & Nelson,,65
0066 Anderson & 2nd,0069 7th & Granville,,36
0208 Arbutus Greenway & Broadway,0165 Columbia & 4th,,3
0012 Dunsmuir & Richards,0081 7th & Heather,,103
0165 Columbia & 4th,0083 Aquatic Centre,,97
0063 Robson & Granville,0037 Hornby & Nelson,,128
0601 Olympic Village Station,0057 Marinaside & Cooperage,,50
0129 Richards & Robson,0187 Bute & Davie,,135
0196 Drake & Hornby,0002 Burrard Station,,39
0012 Dunsmuir & Richards,0026 Beatty & Robson,,84
0080 Laurel & Broadway,0137 Beach & Seymour,,3
0066 Anderson & 2nd,0011 Ontario & Seawall,,770
0015 Granville & Georgia,0030 Abbott & Cordova,,45
0030 Abbott & Cordova,0008 8th & Ash,,171
0123 Georgia & Thurlow,0050 Bute & Comox,,164
0041 Cardero & Robson,0088 Harwood & Bute,,112
0087 Broughton & Burnaby,0212 Union & Gore,,2
0092 Chilco & Barclay,0150 Alexander & Main,,9
0041 Cardero & Robson,0040 Cardero & Davie,,88
