Row Labels,Total Count
0001 10th & Cambie,8870
0002 Burrard Station,6044
0004 Yaletown-Roundhouse Station,10042
0005 Dunsmuir & Beatty,9302
0006 Olympic Village Station,2224
0007 12th & Yukon,778
0008 8th & Ash,5948
0009 Spyglass & Seawall,5106
0010 Stamps Landing,6802
0011 Ontario & Seawall,18336
0012 Dunsmuir & Richards,8926
0014 Canada Place,13028
0015 Granville & Georgia,4976
0016 Pender & Burrard,5468
0017 Marinaside & Davie,10936
0019 Robson & Hornby,6816
0021 Cordova & Granville,620
0024 Hornby & Pender,13736
0025 Homer & Robson,3126
0026 Beatty & Robson,5572
0027 Beatty & Nelson,4080
0028 Davie & Beach,18616
0030 Abbott & Cordova,10914
0031 Morton & Denman,6684
0032 Comox & Denman,9714
0033 Robson & Denman,9492
0035 Coal Harbour Community Centre,15698
0036 Bute & Robson,10196
0037 Hornby & Nelson,9780
0039 Helmcken & Burrard,7036
0040 Cardero & Davie,2790
0041 Cardero & Robson,7116
0044 Richards & Beach,6686
0047 Chilco & Beach,5742
0048 Comox & Broughton,3296
0050 Bute & Comox,3966
0052 Cambie & Water,7332
0053 Keefer & Abbott,10692
0054 Expo & Carrall,3284
0055 Keefer & Columbia,6512
0057 Marinaside & Cooperage,6942
0058 Homer & Smithe,3970
0060 Bidwell & Burnaby,8164
0063 Robson & Granville,7762
0064 Expo & Smithe,6016
0065 Cypress & Cornwall,4802
0066 Anderson & 2nd,20104
0068 Cypress & Broadway,1284
0069 7th & Granville,2370
0070 10th & Granville,2646
0071 14th & Granville,1622
0072 14th & Cambie,1256
0073 Ontario & 5th,5448
0074 10th & Main,130
0076 Cypress & 4th,3978
0077 Vanier Park,2402
0078 Nelson & Mainland,6408
0079 Nelson & Richards,4690
0080 Laurel & Broadway,1908
0081 7th & Heather,4422
0082 Richards & Davie,6982
0083 Aquatic Centre,19158
0084 Sunset Beach West,4568
0087 Broughton & Burnaby,3244
0088 Harwood & Bute,5922
0089 Burrard & Drake,6682
0092 Chilco & Barclay,5428
0093 Chilco & Robson,5682
0096 Nicola & Robson,3708
0098 Carrall & Hastings,2444
0099 Vancouver Art Gallery - North Plaza,5688
0101 Stanley Park - Vancouver Aquarium,5452
0102 Stanley Park - Second Beach North,23008
0104 Stanley Park - Second Beach South,17956
0105 Stanley Park - Totem Poles,20696
0106 Heather & 14th,1496
0107 8th & Ontario,3756
0108 1st & Chestnut,3590
0108 Cypress & 1st,870
0109 7th & Arbutus,2692
0110 5th & Arbutus,1140
0112 10th & Oak,2562
0113 Arbutus & 16th,1416
0114 Cypress & 14th,458
0115 Cypress & 16th,842
0119 3rd & Quebec,1464
0123 Georgia & Thurlow,2650
0125 Hamilton & Robson,2432
0129 Richards & Robson,4374
0130 Heather & 16th,1324
0132 14th & Ontario,1420
0133 Ontario & 16th,2016
0134 14th & Main,2408
0136 David Lam Park - West,6526
0137 Beach & Seymour,5218
0138 Richards & Helmcken,2952
0139 Burrard & 4th,2614
0140 Burrard & 7th,2706
0143 South False Creek Seawall,3672
0147 Chestnut & McNicoll,2926
0148 Creekside Park North,7226
0148 Quebec & Milross,1812
0150 Alexander & Main,4790
0152 Arbutus Greenway & 14th,1268
0153 Arbutus Greenway & Fir,2412
0154 Kitsilano Beach Park,9962
0155 Arbutus & McNicoll,4660
0159 Vine & 4th,3340
0161 Alexander & Dunlevy,504
0165 Columbia & 4th,2778
0166 Alder & 11th,1700
0167 Cordova & Columbia,5540
0171 5th & Yukon,4366
0172 10th & Columbia,1966
0173 1st & Columbia,784
0173 Columbia & 2nd,4042
0174 1st & Ontario,12128
0176 10th & Ontario,2772
0187 Bute & Davie,7318
0190 Melville & Bute,1662
0196 Drake & Hornby,10134
0197 1st & Main,4778
0198 6th & Main,1924
0199 Georgia & Main,832
0201 Shaw Tower,6098
0202 14th & Oak,22
0203 Pine & 14th,484
0204 York & Yew,4446
0205 Pine & 10th,1618
0206 8th & Scotia,2376
0208 Arbutus Greenway & Broadway,3878
0209 Stanley Park - Information Booth,22542
0211 14th & Alder,1516
0212 Union & Gore,2992
0213 Pender & Gore,56
0218 Carrall & Seawall,6500
0221 Glen & Union,1060
0221 Union & Glen,2
0222 Adanac & McLean,2386
0223 Commercial & Adanac,1598
0227 Campbell & Hastings,46
0229 Keefer & Princess,1298
0230 Alexander & Railway,1184
0231 Napier & Commercial,882
0232 Britannia Parking Lot,116
0234 Station & National,1418
0235 Charles & Commercial,896
0236 Keith & 6th,2192
0237 Glen & 6th,1500
0238 Thornton & 1st,372
0239 Grant & Commercial,658
0240 2nd & Commercial,842
0241 4th & Commercial,670
0242 8th & Commercial,914
0244 10th & Commercial,2372
0245 Woodland & 10th,816
0246 Glen & Broadway,906
0248 St George & Broadway,914
0254 Grandview Bike Lane & Commercial,972
0258 13th & St George,10
0260 10th & Fraser,806
0261 8th & Fraser,462
0262 8th & Prince Edward,58
0265 St Catherines & 10th,686
0266 St Catherines & 7th,66
0283 15th & Knight,34
0601 Olympic Village Station,3412
0602 Olympic Village Station - Parking Lot,3966
0994 station for tests,8
0996 Balancer Bike Check In,758
0997 WareHouse Workshop,184
0999 Bike Production,2
1000 Temporary Station - Marketing Events,1578
,
,
