Collision Date,Collision Time Range,Injury Type,Latitude,Longitude,Modes,Risk
2018-04-09,15:00:00,Death,49.25009298,-123.1936092,Single Veh,
2018-04-04,21:15:00,Death,49.2596221,-123.0775552,Single Ped,
2018-03-04,00:54:00,Death,49.2581778,-123.2016887,Single Veh,
2018-01-02,17:57:00,Death,49.24852516,-123.0800274,Single Ped,
2017-12-31,,Minor,49.28133561,-123.0996488,Veh-Veh,
2017-12-31,,Minor,49.2325796,-123.1036968,Single Cyl,
2017-12-30,0:00-2:59,Severe,49.28122081,-123.0934318,Veh-Ped,
2017-12-29,15:00-17:59,Severe,49.20543212,-123.0233584,Veh-Veh,
2017-12-29,18:00-20:59,Severe,49.22611395,-123.1164924,Veh-Ped,
2017-12-28,12:00-14:59,Minor,49.24557834,-123.0902092,Veh-Veh,
2017-12-28,18:00-20:59,Minor,49.24557834,-123.0902092,Veh-Ped,
2017-12-27,21:00-23:59,Minor,49.26081149,-123.1411253,Veh-Ped,
2017-12-27,18:00-20:59,Minor,49.22696578,-123.1398433,Ped-Unk,
2017-12-27,12:00-14:59,Severe,49.26960883,-123.070589,Single Cyl,
2017-12-27,18:00-20:59,Minor,49.27948142,-123.0997293,Veh-Veh,
2017-12-27,15:00-17:59,Minor,49.27245896,-123.0980502,Veh-Veh,
2017-12-26,18:00-20:59,Severe,49.28335783,-123.0732989,Ped-Unk,
2017-12-24,12:00:00,Death,49.28046912,-123.1115363,Single Veh,
2017-12-24,0:00-2:59,Minor,49.28046912,-123.1115363,Veh-Veh,
2017-12-24,12:00-14:59,Minor,49.23415345,-123.0358766,Veh-Veh,
2017-12-24,12:00-14:59,Severe,49.28046912,-123.1115363,Veh-Veh,
2017-12-24,12:00-14:59,Severe,49.28046912,-123.1115363,Veh-Veh,
2017-12-23,12:00-14:59,Minor,49.23284203,-123.0869138,Veh-Veh,
2017-12-23,12:00-14:59,Minor,49.21935069,-123.1401475,Veh-Veh,
2017-12-22,0:00-2:59,Minor,49.22450951,-123.0907989,Veh-Veh,
2017-12-22,,Minor,49.28132157,-123.0770929,Veh-Veh,
2017-12-22,12:00-14:59,Minor,49.28132157,-123.0770929,Veh-Veh,
2017-12-22,,Minor,49.28132157,-123.0770929,Veh-Veh,
2017-12-22,21:00-23:59,Minor,49.23271452,-123.077031,Veh-Veh,
2017-12-20,,Minor,49.21935069,-123.1401475,Veh-Veh,
2017-12-20,12:00-14:59,Minor,49.27650884,-123.1252068,Veh-Veh,
2017-12-19,01:00:00,Death,49.27538076,-123.137183,Single Veh,
2017-12-19,,Severe,49.19818075,-123.12405,Veh-Veh,
2017-12-19,9:00-11:59,Minor,49.22566311,-123.101632,Veh-Veh,
2017-12-19,21:00-23:59,Minor,49.22696578,-123.1398433,Veh-Ped,
2017-12-18,15:00-17:59,Minor,49.19938176,-123.135837,Veh-Veh,
2017-12-18,15:00-17:59,Severe,49.23670368,-123.0686161,Veh-Veh,
2017-12-17,18:00-20:59,Severe,49.23433032,-123.139588,Veh-Ped,
2017-12-17,15:00-17:59,Minor,49.23674424,-123.1279788,Veh-Veh,
2017-12-17,15:00-17:59,Minor,49.2596221,-123.0775552,Veh-Veh,
2017-12-15,21:00-23:59,Minor,49.25658427,-123.1012275,Veh-Ped,
2017-12-15,18:00-20:59,Minor,49.24188342,-123.05813,Veh-Veh,
2017-12-15,18:00-20:59,Minor,49.22748378,-123.1282935,Veh-Veh,
2017-12-15,0:00-2:59,Severe,49.22748378,-123.1282935,Veh-Veh,
2017-12-15,18:00-20:59,Minor,49.22611395,-123.1164924,Veh-Veh,
2017-12-15,6:00-8:59,Minor,49.25775202,-123.1531555,Veh-Ped,
2017-12-15,,Minor,49.2298159,-123.1163429,Veh-Veh,
2017-12-13,11:38:00,Death,49.25238284,-123.0495864,Single Ped,
2017-12-13,21:00-23:59,Minor,49.22688141,-123.1374447,Veh-Veh,
2017-12-13,6:00-8:59,Minor,49.2486426,-123.0901571,Cyl-Unk,
2017-12-13,21:00-23:59,Minor,49.23228129,-123.1081561,Veh-Veh,
2017-12-13,6:00-8:59,Minor,49.22655262,-123.1283157,Cyl-Unk,
2017-12-13,9:00-11:59,Minor,49.22688141,-123.1374447,Single Cyl,
2017-12-13,12:00-14:59,Severe,49.24518895,-123.1155607,Veh-Ped,
2017-12-13,,Severe,49.26386656,-123.1552975,Veh-Ped,
2017-12-12,18:00-20:59,Minor,49.2339516,-123.1280743,Veh-Veh,
2017-12-12,21:00-23:59,Minor,49.20292174,-123.077401,Veh-Veh,
2017-12-12,21:00-23:59,Minor,49.2339516,-123.1280743,Veh-Veh,
2017-12-11,,Minor,49.27933833,-123.1132451,Veh-Veh,
2017-12-11,,Minor,49.27933833,-123.1132451,Veh-Veh,
2017-12-11,21:00-23:59,Minor,49.26520194,-123.0851811,Veh-Ped,
2017-12-11,9:00-11:59,Minor,49.26386656,-123.1552975,Veh-Veh,
2017-12-10,9:00-11:59,Minor,49.26231941,-123.0697627,Veh-Veh,
2017-12-10,21:00-23:59,Minor,49.26214928,-123.0566011,Veh-Veh,
2017-12-10,,Minor,49.22535097,-123.0502931,Cyl-Cyl,
2017-12-09,18:00-20:59,Minor,49.24852516,-123.0800274,Veh-Ped,
2017-12-09,18:00-20:59,Minor,49.26843699,-123.1738209,Veh-Veh,
2017-12-08,,Minor,49.21935069,-123.1401475,Veh-Veh,
2017-12-07,21:00-23:59,Minor,49.26694759,-123.077409,Veh-Veh,
2017-12-07,21:00-23:59,Minor,49.26371381,-123.1457578,Veh-Veh,
2017-12-07,,Minor,49.25238284,-123.0495864,Single Mot,
2017-12-06,3:00-5:59,Minor,49.25749826,-123.1781018,Veh-Veh,
2017-12-06,15:00-17:59,Minor,49.26371381,-123.1457578,Veh-Veh,
2017-12-06,18:00-20:59,Minor,49.2110246,-123.0939956,Veh-Veh,
2017-12-06,15:00-17:59,Minor,49.26199718,-123.0470219,Veh-Veh,
2017-12-05,12:00-14:59,Minor,49.26420486,-123.1759105,Ped-Unk,
2017-12-04,,Minor,49.22930236,-123.128232,Veh-Veh,
2017-12-04,15:00-17:59,Minor,49.26231941,-123.0697627,Veh-Veh,
2017-12-04,,Minor,49.28281548,-123.1186086,Veh-Veh,
2017-12-03,21:00-23:59,Minor,49.26963153,-123.0734913,Veh-Veh,
2017-12-03,,Minor,49.27676634,-123.0998475,Veh-Veh,
2017-12-03,12:00-14:59,Minor,49.27676634,-123.0998475,Veh-Veh,
2017-12-03,,Minor,49.28932746,-123.0592963,Veh-Ped,
