Collision Date,Collision Time Range,Injury Type,Latitude,Longitude,Modes,Risk
2017-12-31,,Minor,49.2325796,-123.1036968,Single Cyl,
2017-12-27,12:00-14:59,Severe,49.26960883,-123.070589,Single Cyl,
2017-12-13,6:00-8:59,Minor,49.2486426,-123.0901571,Cyl-Unk,
2017-12-13,6:00-8:59,Minor,49.22655262,-123.1283157,Cyl-Unk,
2017-12-13,9:00-11:59,Minor,49.22688141,-123.1374447,Single Cyl,
2017-12-10,,Minor,49.22535097,-123.0502931,Cyl-Cyl,
2017-12-03,0:00-2:59,Minor,49.27676634,-123.0998475,Cyl-Unk,
2017-12-03,12:00-14:59,Minor,49.26916794,-123.1006969,Single Cyl,
2017-12-03,18:00-20:59,Minor,49.20707081,-123.1244353,Single Cyl,
2017-11-29,15:00-17:59,Minor,49.24188342,-123.05813,Cyl-Ped,
2017-11-27,18:00-20:59,Minor,49.27668051,-123.108987,Single Cyl,
2017-11-25,12:00-14:59,Minor,49.24143454,-123.1278187,Mot-Cyl,
2017-11-25,,Minor,49.23230884,-123.0236472,Single Cyl,
2017-11-22,12:00-14:59,Minor,49.23289146,-123.0905577,Cyl-Ped,
2017-11-20,,Minor,49.22547178,-123.0907739,Cyl-Ped,
2017-11-14,,Severe,49.26927399,-123.1065726,Cyl-Unk,
2017-11-10,18:00-20:59,Minor,49.24108389,-123.1184367,Single Cyl,
2017-11-06,15:00-17:59,Minor,49.26344486,-123.1289867,Single Cyl,
2017-10-31,21:00-23:59,Minor,49.24000921,-123.0540294,Cyl-Unk,
2017-10-30,6:00-8:59,Minor,49.21812717,-123.0770252,Cyl-Unk,
2017-10-30,12:00-14:59,Minor,49.21101282,-123.0911022,Single Cyl,
2017-10-29,,Minor,49.23289146,-123.0905577,Single Cyl,
2017-10-24,9:00-11:59,Minor,49.26927399,-123.1065726,Cyl-Cyl,
2017-10-24,,Minor,49.21825543,-123.0909531,Cyl-Ped,
2017-10-21,15:00-17:59,Minor,49.2388167,-123.0395164,Cyl-Unk,
2017-10-15,9:00-11:59,Minor,49.23724779,-123.1160455,Single Cyl,
2017-10-13,,Minor,49.23289146,-123.0905577,Single Cyl,
2017-10-12,6:00-8:59,Minor,49.21182947,-123.1485388,Cyl-Ped,
2017-10-09,,Severe,49.24861466,-123.0877662,Single Cyl,
2017-10-08,15:00-17:59,Minor,49.26460211,-123.1008882,Single Cyl,
2017-10-07,,Minor,49.20810709,-123.0422563,Single Cyl,
2017-10-05,15:00-17:59,Minor,49.26035998,-123.1130055,Cyl-Ped,
2017-10-04,18:00-20:59,Minor,49.24932974,-123.0986981,Cyl-Unk,
2017-10-01,,Minor,49.22562267,-123.0995618,Cyl-Ped,
2017-09-29,0:00-2:59,Minor,49.27699988,-123.1195259,Cyl-Cyl,
2017-09-29,15:00-17:59,Minor,49.26367551,-123.1433878,Cyl-Unk,
2017-09-28,6:00-8:59,Minor,49.23805703,-123.1394596,Cyl-Cyl,
2017-09-28,18:00-20:59,Minor,49.20457485,-123.1303776,Cyl-Unk,
2017-09-26,15:00-17:59,Minor,49.21376177,-123.0770884,Cyl-Cyl,
2017-09-23,9:00-11:59,Minor,49.25462583,-123.089932,Cyl-Unk,
2017-09-20,21:00-23:59,Minor,49.20292174,-123.077401,Cyl-Unk,
2017-09-18,15:00-17:59,Severe,49.22846787,-123.1015203,Cyl-Unk,
2017-09-16,12:00-14:59,Severe,49.24108389,-123.1184367,Cyl-Unk,
2017-09-16,,Minor,49.20292174,-123.077401,Single Cyl,
2017-09-16,15:00-17:59,Minor,49.24050232,-123.1014864,Single Cyl,
2017-09-15,6:00-8:59,Minor,49.26330575,-123.1009429,Cyl-Unk,
2017-09-15,15:00-17:59,Severe,49.24363668,-123.1392728,Single Cyl,
2017-09-14,6:00-8:59,Minor,49.28111839,-123.0791584,Cyl-Unk,
2017-09-13,,Minor,49.27538076,-123.137183,Cyl-Cyl,
2017-09-12,,Minor,49.25971654,-123.0891632,Single Cyl,
2017-09-11,6:00-8:59,Minor,49.20457485,-123.1303776,Single Cyl,
2017-09-11,,Minor,49.27126361,-123.065721,Single Cyl,
2017-09-08,18:00-20:59,Minor,49.31555276,-123.138343,Cyl-Unk,
2017-09-08,21:00-23:59,Minor,49.25985093,-123.0965585,Cyl-Unk,
2017-09-07,9:00-11:59,Minor,49.23354342,-123.1161922,Single Cyl,
2017-09-05,18:00-20:59,Minor,49.23473669,-123.1673766,Single Cyl,
2017-09-04,12:00-14:59,Minor,49.25658427,-123.1012275,Cyl-Unk,
2017-09-04,,Minor,49.20968952,-123.0661113,Cyl-Unk,
2017-09-04,,Minor,49.22922839,-123.0235847,Single Cyl,
2017-09-02,9:00-11:59,Minor,49.23354342,-123.1161922,Cyl-Unk,
2017-08-31,15:00-17:59,Minor,49.26977958,-123.1455468,Cyl-Ped,
2017-08-31,21:00-23:59,Minor,49.25671752,-123.0898541,Cyl-Unk,
2017-08-29,15:00-17:59,Severe,49.23230884,-123.0236472,Cyl-Ped,
2017-08-28,,Minor,49.24545136,-123.0496389,Cyl-Cyl,
2017-08-27,,Minor,49.27610453,-123.1181308,Cyl-Cyl,
2017-08-27,,Severe,49.24843667,-123.0722098,Single Cyl,
2017-08-26,,Minor,49.28065961,-123.1170123,Single Cyl,
2017-08-24,9:00-11:59,Severe,49.26263281,-123.1385943,Cyl-Cyl,
2017-08-24,18:00-20:59,Minor,49.28009442,-123.117866,Single Cyl,
2017-08-23,21:00-23:59,Minor,49.25671752,-123.0898541,Cyl-Unk,
2017-08-22,15:00-17:59,Minor,49.26340063,-123.1808802,Single Cyl,
2017-08-17,,Severe,49.22928939,-123.0402854,Single Cyl,
2017-08-15,,Severe,49.20292174,-123.077401,Cyl-Cyl,
2017-08-14,12:00-14:59,Severe,49.25781711,-123.1780769,Cyl-Cyl,
2017-08-13,18:00-20:59,Minor,49.24186874,-123.1393225,Single Cyl,
2017-08-12,21:00-23:59,Minor,49.23266824,-123.0728922,Cyl-Unk,
2017-08-12,18:00-20:59,Minor,49.26354928,-123.1128842,Single Cyl,
2017-08-09,,Severe,49.21573059,-123.0960069,Cyl-Unk,
2017-08-09,,Minor,49.25781711,-123.1780769,Cyl-Unk,
2017-08-06,3:00-5:59,Minor,49.23433032,-123.139588,Single Cyl,
2017-08-05,15:00-17:59,Minor,49.24356487,-123.0618096,Cyl-Unk,
2017-08-04,18:00-20:59,Minor,49.21812717,-123.0770252,Cyl-Unk,
2017-08-01,,Severe,49.22696578,-123.1398433,Cyl-Ped,
2017-07-29,12:00-14:59,Minor,49.26208318,-123.1624749,Single Cyl,
2017-07-29,21:00-23:59,Minor,49.28034179,-123.0973372,Single Cyl,
2017-07-28,21:00-23:59,Minor,49.26530732,-123.1907199,Single Cyl,
2017-07-28,,Minor,49.24188342,-123.05813,Single Cyl,
2017-07-26,,Severe,49.2607329,-123.1362012,Cyl-Cyl,
2017-07-25,15:00-17:59,Minor,49.27303925,-123.0695608,Cyl-Ped,
2017-07-25,21:00-23:59,Minor,49.23275057,-123.0655367,Single Cyl,
2017-07-23,,Severe,49.25011309,-123.0760987,Cyl-Cyl,
2017-07-23,,Minor,49.27548223,-123.099907,Single Cyl,
2017-07-23,12:00-14:59,Severe,49.27081775,-123.114945,Single Cyl,
2017-07-20,,Minor,49.26077176,-123.1386636,Single Cyl,
2017-07-19,,Minor,49.26285921,-123.099514,Single Cyl,
2017-07-17,3:00-5:59,Minor,49.24877163,-123.0338089,Cyl-Unk,
2017-07-16,21:00-23:59,Minor,49.24518895,-123.1155607,Cyl-Unk,
2017-07-13,,Minor,49.27527372,-123.065652,Single Cyl,
2017-07-13,,Minor,49.22611395,-123.1164924,Single Cyl,
2017-07-12,,Minor,49.2654692,-123.0988474,Cyl-Cyl,
2017-07-11,15:00-17:59,Minor,49.25011309,-123.0760987,Cyl-Cyl,
2017-07-11,21:00-23:59,Severe,49.2107292,-123.1301707,Cyl-Ped,
2017-07-09,12:00-14:59,Minor,49.27277625,-123.1000281,Single Cyl,
2017-07-09,,Minor,49.23230884,-123.0236472,Single Cyl,
2017-07-06,,Minor,49.28903398,-123.1282372,Single Cyl,
2017-07-04,9:00-11:59,Minor,49.28600469,-123.1269798,Single Cyl,
2017-07-03,15:00-17:59,Minor,49.24303856,-123.0763224,Cyl-Cyl,
2017-07-03,,Severe,49.2757524,-123.1462382,Single Cyl,
2017-07-03,,Minor,49.27948142,-123.0997293,Single Cyl,
2017-07-02,12:00-14:59,Minor,49.23457602,-123.1555619,Single Cyl,
2017-07-01,,Minor,49.28318941,-123.0995671,Single Cyl,
2017-07-01,,Minor,49.26407036,-123.1681743,Single Cyl,
2017-07-01,9:00-11:59,Severe,49.24236867,-123.1852632,Single Cyl,
2017-06-21,,Minor,49.28123468,-123.0703897,Cyl-Unk,
2017-05-29,,Severe,49.26888925,-123.2014427,Cyl-Cyl,
